distance_m,amplitude_dB,residual_dB
5.242122885152240667e-03,-6.984822892619308732e+01,-6.984821634554344882e+01
5.258711881624240740e-03,-8.184390180409434379e+01,-8.184396780599084309e+01
5.275300878096241680e-03,-7.113153010183653180e+01,-7.113151521420425638e+01
5.291889874568242620e-03,-6.613252281952921408e+01,-6.613253191045834001e+01
5.308478871040243560e-03,-6.521062980234736983e+01,-6.521062013067540875e+01
5.325067867512243633e-03,-6.576571601689634861e+01,-6.576572726787570389e+01
5.341656863984244573e-03,-6.974003229693208539e+01,-6.974001435826988882e+01
5.358245860456245513e-03,-7.152581167777714199e+01,-7.152582235603753702e+01
5.374834856928246453e-03,-6.866216068536868988e+01,-6.866215439321477731e+01
5.391423853400247393e-03,-7.428046256450313933e+01,-7.428048199585930433e+01
5.408012849872247466e-03,-7.794731036707879923e+01,-7.794735664421918386e+01
5.424601846344248406e-03,-7.249970856771091121e+01,-7.249968554540878074e+01
5.441190842816249346e-03,-7.650534194841780788e+01,-7.650536327776120515e+01
5.457779839288250286e-03,-8.846997156763188741e+01,-8.846983231345261345e+01
5.474368835760251226e-03,-8.471911256020163705e+01,-8.471921147872434688e+01
5.490957832232251298e-03,-8.033877666298580777e+01,-8.033879510379460953e+01
5.507546828704252238e-03,-7.341593482038095431e+01,-7.341591466025973034e+01
5.524135825176253178e-03,-7.966293771333910456e+01,-7.966299416380211085e+01
5.540724821648254118e-03,-7.651005019101673099e+01,-7.651005913390817170e+01
5.557313818120255058e-03,-7.757299495867957262e+01,-7.757301760859975559e+01
5.573902814592255131e-03,-6.901583744334038784e+01,-6.901582084863628097e+01
5.590491811064256071e-03,-6.454721067124320655e+01,-6.454722021976918711e+01
5.607080807536257011e-03,-6.306530329609237384e+01,-6.306529620760773014e+01
5.623669804008257951e-03,-6.405888935434776954e+01,-6.405889559104670639e+01
5.640258800480258891e-03,-6.620233616437720059e+01,-6.620233047539828419e+01
5.656847796952258964e-03,-6.776362187084110644e+01,-6.776362813522098349e+01
5.673436793424259904e-03,-6.990443655106233223e+01,-6.990442606047891161e+01
5.690025789896260844e-03,-7.035682450819143696e+01,-7.035684286116524788e+01
5.706614786368261784e-03,-6.966387009839232292e+01,-6.966385248398503904e+01
5.723203782840262724e-03,-7.981673618636035883e+01,-7.981679256748503803e+01
5.739792779312262797e-03,-7.229935309389108511e+01,-7.229936505836460015e+01
5.756381775784263737e-03,-6.537675999626185330e+01,-6.537675401383793883e+01
5.772970772256264677e-03,-6.200187816032092769e+01,-6.200188301229698595e+01
5.789559768728265617e-03,-6.223383766682115947e+01,-6.223383325136418165e+01
5.806148765200265689e-03,-6.688307158941503872e+01,-6.688307005555328999e+01
5.822737761672266629e-03,-6.742860570857780544e+01,-6.742861919968484585e+01
5.839326758144267569e-03,-6.946184617815616491e+01,-6.946183172086304580e+01
5.855915754616268509e-03,-7.209399962677353813e+01,-7.209399961016180214e+01
5.872504751088269449e-03,-7.265173393769630650e+01,-7.265174998983380306e+01
5.889093747560269522e-03,-7.181669791760361932e+01,-7.181668139826444985e+01
5.905682744032270462e-03,-7.064597568128023397e+01,-7.064598704327052303e+01
5.922271740504271402e-03,-7.234574481138645297e+01,-7.234573351860036894e+01
5.938860736976272342e-03,-7.711384245898366885e+01,-7.711381561904570958e+01
5.955449733448273282e-03,-7.247530063155009827e+01,-7.247532531894252372e+01
5.972038729920273355e-03,-8.152754673894071402e+01,-8.152747735615338343e+01
5.988627726392274295e-03,-7.141156303416428841e+01,-7.141156911015039555e+01
6.005216722864275235e-03,-6.308727178808969427e+01,-6.308726634245224574e+01
6.021805719336276175e-03,-6.098263816849446073e+01,-6.098264370496556808e+01
