distance_m,amplitude_dB,residual_dB
5.789559768728265617e-03,-6.223383766682115947e+01,-6.223383944040676141e+01
5.806148765200265689e-03,-6.688307158941503872e+01,-6.688307224458883127e+01
5.822737761672266629e-03,-6.742860570857780544e+01,-6.742860023278946358e+01
5.839326758144267569e-03,-6.946184617815616491e+01,-6.946185201217150507e+01
5.855915754616268509e-03,-7.209399962677353813e+01,-7.209399969536842434e+01
5.872504751088269449e-03,-7.265173393769630650e+01,-7.265172738088602955e+01
5.889093747560269522e-03,-7.181669791760361932e+01,-7.181670465491265531e+01
5.905682744032270462e-03,-7.064597568128023397e+01,-7.064597103302230607e+01
5.922271740504271402e-03,-7.234574481138645297e+01,-7.234574944554323395e+01
5.938860736976272342e-03,-7.711384245898366885e+01,-7.711385325129899115e+01
5.955449733448273282e-03,-7.247530063155009827e+01,-7.247529062258357158e+01
5.972038729920273355e-03,-8.152754673894071402e+01,-8.152757488592601476e+01
5.988627726392274295e-03,-7.141156303416428841e+01,-7.141156062767711887e+01
6.005216722864275235e-03,-6.308727178808969427e+01,-6.308727397816134896e+01
6.021805719336276175e-03,-6.098263816849446073e+01,-6.098263593413258121e+01
6.038394715808277115e-03,-6.184545669748373342e+01,-6.184545934198234107e+01
