file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25435.820717,20.383743
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38023.900904,20.379700
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50558.104063,20.388389
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12690.468828,20.405585
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25278.549015,20.388615
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37812.752174,20.397285
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12588.080187,20.371536
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25122.283346,20.393095
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12534.203159,20.414792
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.027933,20.391736
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25945.579814,20.391766
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38788.266118,20.389582
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51532.789842,20.382436
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64223.154935,20.386973
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76811.563866,20.384529
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89345.942817,20.388809
